ZCTA20	ZCTA_AREA20	TOT_POP_2020	COUNT_NTM_STOPS	STOPS_PER_CAPITA	STOPS_PER_SQMILE
01001	11.292496681	16064	33	2.0542829037	2.9222943783
01002	53.255802155	30099	120	3.9868433476	2.2532756329
01003	.804123402	11588	27	2.3299965858	33.5769348145
01005	43.18907547	5166	0	0	0
01007	54.869407654	15080	25	1.6578249931	.4556272924
01008	61.185981751	1116	0	0	0
01009	.697486997	649	0	0	0
01010	35.226528168	3663	0	0	0
01011	32.795120239	1486	0	0	0
01012	12.066711426	595	0	0	0
01013	5.659937859	22739	94	4.133866787	16.6079559326
01020	12.460920334	30249	67	2.2149493694	5.3768100739
01022	4.814258575	2203	1	.4539264739	.2077163011
01026	28.052154541	1030	0	0	0
01027	40.585952759	17641	15	.8502919078	.3695859909
01028	12.92133522	16215	12	.7400555015	.9286965728
01029	9.970493317	572	0	0	0
01030	12.029391289	12563	24	1.9103717804	1.9951133728
01031	6.732785702	1436	0	0	0
01032	9.649409294	482	0	0	0
01033	27.80929184	6310	3	.4754358232	.1078776121
01034	67.748054504	2115	0	0	0
01035	23.083759308	5328	41	7.6951951981	1.7761404514
01036	19.610740662	5174	0	0	0
01037	18.5760746	642	0	0	0
01038	9.22326088	2653	0	0	0
01039	16.491300583	1368	3	2.1929824352	.1819140911
01040	21.164829254	40161	190	4.7309579849	8.9771575928
01050	41.368694305	2454	0	0	0
01053	5.750567913	1850	3	1.6216216087	.5216876268
01054	22.930751801	1875	0	0	0
01056	27.195585251	21223	11	.5183055997	.4044774175
01057	44.542575836	8778	0	0	0
01060	10.86777401	16386	42	2.5631637573	3.864636898
01062	17.451503754	9693	29	2.9918498993	1.6617479324
01063	.088367976	623	2	3.210272789	22.6326332092
01066	1.26164782	30	0	0	0
01068	21.720108032	1636	0	0	0
01069	28.058095932	8716	0	0	0
01070	19.839567184	679	0	0	0
01071	15.697509766	1392	0	0	0
01072	19.093156815	1541	0	0	0
01073	28.154001236	6169	0	0	0
01074	.259327441	396	0	0	0
01075	17.721940994	17715	27	1.5241321325	1.5235351324
01077	30.854499817	9722	0	0	0
01079	1.607470274	515	0	0	0
01080	1.66528213	2419	0	0	0
01081	14.47308445	1937	0	0	0
01082	47.009174347	10341	2	.193404898	.0425448865
01083	12.757316589	3125	0	0	0
01084	8.331342697	165	0	0	0
01085	59.726306915	41758	43	1.029742837	.7199507356
01088	5.253695965	588	0	0	0
01089	16.730413437	28527	111	3.8910505772	6.6346240044
01092	6.721168041	1200	0	0	0
01093	4.313844681	295	0	0	0
01094	.719687104	428	0	0	0
01095	22.489225388	14740	0	0	0
01096	35.883407593	2288	1	.4370629489	.0278680325
01097	1.740333438	93	0	0	0
01098	31.885648727	1182	0	0	0
01103	.434798896	1989	54	27.1493206024	124.195350647
