Name,Latitude,Longitude,ZCTA5CE10
P.S. 015 Roberto Clemente,40.722075,-73.978747,10009
P.S. 020 Anna Silver,40.721305,-73.986312,10002
P.S. 034 Franklin D. Roosevelt,40.726008,-73.975058,10009
The STAR Academy - P.S.63,40.72444,-73.986214,10009
P.S. 064 Robert Simon,40.72313,-73.981597,10009
P.S. 110 Florence Nightingale,40.7162,-73.9798,10002
P.S. 134 Henrietta Szold,40.714248,-73.983854,10002
P.S. 140 Nathan Straus,40.719148,-73.983769,10002
P.S. 142 Amalia Castro,40.718121,-73.984116,10002
P.S. 184m Shuang Wen,40.711125,-73.985438,10002
P.S. 188 The Island School,40.719888,-73.97738,10002
Orchard Collegiate Academy,40.713362,-73.986051,10002
The East Village Community School,40.730009,-73.984496,10003
University Neighborhood Middle School,40.713362,-73.986051,10002
The Children's Workshop School,40.727537,-73.978254,10009
Neighborhood School,40.72444,-73.986214,10009
Earth School,40.72313,-73.981597,10009
School for Global Leaders,40.72004,-73.986038,10002
University Neighborhood High School,40.712269,-73.984128,10002
East Side Community School,40.729152,-73.982472,10009
Forsyth Satellite Academy,40.722415,-73.990468,10002
Lower East Side Preparatory High School,40.72004,-73.986038,10002
"New Explorations into Science, Technology and Math",40.719416,-73.979581,10002
Cascades High School,40.722415,-73.990468,10002
Bard High School Early College,40.718276,-73.976093,10002
Tompkins Square Middle School,40.72313,-73.981597,10009
P.S. 001 Alfred E. Smith,40.71255,-73.997478,10038
P.S. 002 Meyer London,40.712907,-73.991523,10002
P.S. 003 Charrette School,40.732603,-74.005949,10014
P.S. 006 Lillie D. Blake,40.777737,-73.960427,10028
P.S. 011: The Sarah J. Garnet Elementary School,40.744186,-74.000743,10011
P.S. 033 Chelsea Prep,40.749014,-74.000238,10001
P.S. 040 Augustus Saint-Gaudens,40.735328,-73.981536,10003
P.S. 041 Greenwich Village,40.73545,-73.999094,10011
P.S. 042 Benjamin Altman,40.716126,-73.990826,10002
47 The American Sign Language and English Secondar,40.738374,-73.981329,10010
P.S. 051 Elias Howe,40.761487,-73.995825,10036
P.S. 059 Beekman Hill International,40.759248,-73.967204,10022
P.S. 77 Lower Lab School,40.785018,-73.95042,10128
P.S. 89,40.71701,-74.013967,10282
J.H.S. 104 Simon Baruch,40.735879,-73.981034,10010
P.S. 111 Adolph S. Ochs,40.76588,-73.989776,10019
East Side Middle School,40.780452,-73.947379,10128
P.S. 116 Mary Lindley Murray,40.744511,-73.977906,10016
P.S. 124 Yung Wing,40.715097,-73.996017,10002
P.S. 126 Jacob August Riis,40.710651,-73.99742,10038
P.S. 130 Hernando De Soto,40.71866,-73.998326,10013
M.S. 131,40.716231,-73.993607,10002
The Urban Assembly Early College High School of Em,40.711441,-74.000851,10038
Stephen T. Mather Building Arts & Craftsmanship Hi,40.763655,-73.990318,10019
P.S. 150,40.707355,-74.01358,10006
Yorkville Community School,40.777948,-73.947287,10128
P.S. 158 Bayard Taylor,40.770215,-73.950745,10075
J.H.S. 167 Robert F. Wagner,40.771541,-73.957827,10021
Yorkville East Middle School,40.770215,-73.950745,10075
P.S. 183 Robert L. Stevenson,40.763804,-73.957731,10065
P.S. 198 Isador E. Ida Straus,40.785018,-73.95042,10128
P.S. 212 Midtown West,40.761327,-73.988665,10036
P.S./I.S. 217 Roosevelt Island,40.753598,-73.956435,10044
Ella Baker School,40.765638,-73.959777,10065
P.S. 234 Independence School,40.71953,-74.01088,10013
M.S. 255 Salk School of Science,40.735328,-73.981536,10003
