Name,Latitude,Longitude,ZCTA5CE10,nearest_route_id,nearest_route_distance,accessibility_category
I.S. 5 - The Walter Crowley Intermediate School,40.737405,-73.888133,11373.0,Q47,0.4016720150155928,Accessible
P.S. 007 Louis F. Simeone,40.739644,-73.882446,11373.0,Q58,0.30702672556556754,Accessible
P.S. 012 James B. Colgate,40.742284,-73.893466,11377.0,Q107,0.32216128514297293,Accessible
P.S. 013 Clement C. Moore,40.737441,-73.867662,11373.0,QM10,0.11412176141698625,Very accessible
P.S. 014 Fairview,40.74102,-73.85457,11368.0,Q58,0.244351773638459,Very accessible
P.S. Q016 The Nancy DeBenedittis School,40.748996,-73.860547,11368.0,Q23,0.07711855609673295,Very accessible
P.S. 019 Marino Jeantet,40.7486,-73.866557,11368.0,Q72,0.14520351088902947,Very accessible
P.S. 28 - The Thomas Emanuel Early Childhood Cente,40.747017,-73.854268,11368.0,Q48,0.33666915916622353,Accessible
P.S. 049 Dorothy Bonawit Kole,40.719567,-73.875493,11379.0,Q38,0.12055357832516969,Very accessible
P.S. 58 - The School of Heroes,40.728517,-73.890638,11378.0,Q59,0.07088276299671638,Very accessible
I.S. 061 Leonardo Da Vinci,40.741898,-73.862886,11368.0,Q58,0.22928286512455825,Very accessible
P.S. 068 Cambridge,40.696961,-73.897372,11385.0,Q39,0.1481067855378835,Very accessible
P.S. 071 Forest,40.711388,-73.904798,11385.0,Q67,0.19994629417592008,Very accessible
I.S. 73 - The Frank Sansivieri Intermediate School,40.728558,-73.893318,11378.0,Q58,0.06867037532452559,Very accessible
Joseph F. Quinn Intermediate School 77,40.699101,-73.902147,11385.0,Q58,0.16717531741019803,Very accessible
P.S. 81Q Jean Paul Richter,40.703942,-73.911885,11385.0,L90,0.21215331631070303,Very accessible
P.S./I.S. 087 Middle Village,40.711559,-73.871674,11379.0,Q49,0.1839205085598444,Very accessible
P.S. 088 Seneca,40.704105,-73.896437,11385.0,B13,0.10978705842038365,Very accessible
P.S. 89Q: The Jose Peralta School of Dreamers,40.745963,-73.879641,11373.0,Q33,0.24448281830399096,Very accessible
P.S. 091 Richard Arkwright,40.703503,-73.883995,11385.0,Q55,0.35229065423187683,Accessible
I.S. 093 Ridgewood,40.705609,-73.903057,11385.0,Q39,0.05190840563221915,Very accessible
P.S. 102 Bayview,40.733033,-73.878243,11373.0,Q59,0.22953986936883586,Very accessible
P.S. 110,40.745995,-73.866372,11368.0,Q72,0.25104243282705196,Accessible
P.S./I.S. 113 Anthony J. Pranzo,40.705476,-73.861493,11385.0,Q29,0.3342195245194865,Accessible
P.S./I.S. 119 The Glendale,40.705187,-73.875073,11385.0,Q55,0.18791834907845748,Very accessible
I.S. 125 Thom J. McCann Woodside,40.740452,-73.918762,11377.0,B24,0.1422434085992185,Very accessible
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",40.715005,-73.885974,11379.0,Q38,0.23816883636134228,Very accessible
P.S. 143 Louis Armstrong,40.755393,-73.855715,11368.0,Q48,0.34660163307677483,Accessible
P.S. 153 Maspeth Elem,40.716296,-73.904463,11378.0,Q67,0.2898525238036567,Accessible
P.S. 199 Maurice A. Fitzgerald,40.739831,-73.926081,11104.0,Q39,0.07073046207596188,Very accessible
Elm Tree Elementary School,40.741139,-73.863408,11368.0,Q58,0.21346317062865106,Very accessible
P.S. 229 Emanuel Kaplan,40.734682,-73.897108,11377.0,Q18,0.1907688771423158,Very accessible
International High School for Health Sciences,40.740824,-73.874129,11373.0,Q29,0.12613555032862525,Very accessible
P.S. 239,40.699431,-73.903838,11385.0,Q58,0.10146218685737475,Very accessible
Academy of Finance and Enterprise,40.744175,-73.937004,11101.0,Q95,0.30405745587597255,Accessible
High School of Applied Communication,40.744175,-73.937004,11101.0,Q95,0.30405745587597255,Accessible
