latitude,longitude,route_id,ZCTA5CE10
40.754074,-73.942414,Q96,11101
40.754047,-73.758052,Q27,11364
40.750554,-73.991077,BXM2,10001
40.771637,-73.98234,M104,10023
40.838829,-73.928122,BX18B,10452
40.820955,-73.89174,BX6+,10459
40.707594,-73.802927,Q111,11432
40.528346,-74.230218,S74,10309
40.76053,-73.968299,QM12,10022
40.631995,-73.946898,B41,11210
40.645523,-73.973344,BM3,11218
40.702656,-73.798625,Q111,11433
40.710811,-73.792909,Q36,11432
40.716374,-74.004847,SIM4X,10007
40.586862,-74.069839,SIM6,10305
40.607249,-73.962372,B82,11223
40.556666,-74.203716,SIM25,10312
40.723039,-73.846708,QM44,11375
40.70049,-73.807839,Q42,11435
40.770191,-73.875509,Q101,11369
40.611716,-74.035076,B16,11209
40.893316,-73.908526,BX7,10471
40.7287,-74.00254,SIM34,10012
40.652566,-73.765501,Q9,11430
40.711472,-74.015762,M9,10280
40.730069,-73.991279,M8,10003
40.696885,-73.894502,Q47,11385
40.750554,-73.991077,BXM1,10001
40.629856,-74.089431,S62,10301
40.560645,-74.171275,S84,10312
40.82044,-73.955723,M5,10031
40.840005,-73.905192,BX41,10457
40.776491,-73.988726,M72,10023
40.638191,-73.978944,B61,11218
40.711706,-73.729036,Q110,11429
40.84021,-73.917817,BX18,10452
40.70237,-73.791688,Q85,11433
40.55713,-74.202823,SIM23,10312
40.7323,-73.858097,QM10,11374
40.670449,-73.845503,Q7,11417
40.603427,-74.068996,SIM1,10305
40.749723,-73.939024,Q67,11101
40.842469,-73.877969,BX42,10460
40.840014,-73.877652,BX21,10460
40.758873,-73.968456,QM12,10022
40.876999,-73.889855,BX22,10468
40.616078,-74.104545,S66,10301
40.829418,-73.874811,BX4A,10472
40.746819,-73.891252,Q47,11372
40.668552,-73.931509,B14,11213
40.72583,-73.72506,Q1,11426
40.814916,-73.95853,M4,10027
40.667271,-73.981178,B67,11215
40.702514,-73.991915,B25,11201
40.66397,-73.768465,Q114,11434
40.838728,-73.91349,BX18A,10456
40.608772,-74.153263,S93,10314
40.772952,-73.886197,Q47,11371
40.669911,-73.907025,B14,11212
40.632921,-73.928199,B6,11234
40.634008,-73.947753,B6,11210
40.717642,-73.817977,QM35,11367
40.507721,-74.229574,S59,10309
40.838712,-73.913443,BX18B,10456
40.755728,-73.885499,Q33,11370
40.740119,-73.824891,Q44+,11367
40.744417,-74.00815,M14A+,10011
40.86743,-73.89767,BX22,10468
40.577857,-74.163769,SIM4X,10314
40.643587,-74.073468,S44,10301
40.839897,-73.905382,BX41,10457
40.613549,-74.117328,SIM3C,10314
40.764252,-73.95575,M66,10065
40.824041,-73.913643,BX6,10451
40.717653,-73.81679,QM36,11435
40.853609,-73.906964,BX42,10453
40.731342,-73.990292,M1,10003
40.626451,-74.015332,B16,11228
40.704472,-74.014153,BM3,10004
40.699335,-73.91121,B20,11237
40.678391,-73.903549,Q24,11233
40.819923,-73.901226,BX4A,10459
40.821082,-73.935896,M1,10039
40.604704,-74.17873,S96,10311
40.86758,-73.921622,BXM1,10034
40.74684,-73.712563,QM36,11004
40.702779,-73.798769,Q85,11433
40.699276,-73.911246,Q58,11237
40.693235,-73.970746,B54,11205
40.7287,-74.00254,SIM32,10012
40.744237,-73.92968,Q60,11101
40.763045,-73.971712,BXM7,10022
40.541707,-74.206603,S74,10309
40.578047,-74.166551,S91,10314
40.791429,-73.781062,Q16,11359
40.784153,-73.845512,Q20B,11356
40.64265,-73.979587,B35,11218
40.712872,-73.782724,Q1,11432
40.616262,-74.031131,B8,11209
40.852577,-73.827361,BX24,10461
40.693026,-74.000657,B63,11201
40.722723,-73.901821,Q59,11378
40.704149,-73.919426,B38,11237
40.754302,-73.722888,Q36,11362
40.838708,-73.859449,BX22,10462
40.590564,-74.066708,S52,10305
40.653386,-73.86608,B84,11208
40.736364,-73.772367,Q88,11364
40.722487,-73.867736,BM5,11379
40.840879,-73.939441,M3,10032
40.657618,-73.874569,B83,11208
40.607533,-74.162351,SIM4,10314
40.581245,-74.11199,S51,10306
40.700463,-73.807915,Q43,11435
40.771098,-73.865943,Q72,11371
40.737297,-73.97936,SIM6,10010
40.893316,-73.908526,BX10,10471
40.614399,-74.157786,SIM8,10314
40.741528,-73.98978,X27,10010
40.616611,-74.102996,S62,10301
40.771582,-73.833747,CPAS,11354
40.71675,-73.975842,M21,10002
40.867349,-73.824572,BX38,10475
