Name,Latitude,Longitude,ZCTA5CE10,routes_within_radius,unique_routes,transit_density_score,density_category
P.S. 143 Louis Armstrong,40.755393,-73.855715,11368.0,1,Q48,1,Low transit density
P.S. 129 Patricia Larkin,40.789926,-73.839505,11356.0,1,Q20B,1,Low transit density
I.S. 250 The Robert F. Kennedy Community Middle Sc,40.724195,-73.80938,11366.0,1,Q65,1,Low transit density
"Queens School of Inquiry, The",40.724195,-73.80938,11366.0,1,Q65,1,Low transit density
P.S. 098 The Douglaston School,40.768906,-73.749998,11363.0,0,,0,No transit options
P.S. 133 The Bellerose School of Excellence,40.732458,-73.717819,11426.0,1,Q36,1,Low transit density
P.S. 205 Alexander Graham Bell,40.738008,-73.756374,11364.0,0,,0,No transit options
P.S. 213 The Carl Ullman School,40.747457,-73.74539,11364.0,0,,0,No transit options
P.S./M.S 042 R. Vernam,40.594358,-73.794804,11692.0,1,Q98V,1,Low transit density
P. S. 62 - Chester Park School,40.688359,-73.835567,11419.0,0,,0,No transit options
P.S. 064 Joseph P. Addabbo,40.681901,-73.856956,11416.0,0,,0,No transit options
P.S. 104 The Bays Water,40.608002,-73.764621,11691.0,0,,0,No transit options
P.S./M.S. 114 Belle Harbor,40.577552,-73.854364,11694.0,0,,0,No transit options
P.S. 123,40.678913,-73.795571,11436.0,1,Q40,1,Low transit density
P.S. 183 Dr. Richard R. Green,40.58922,-73.805866,11693.0,1,Q98V,1,Low transit density
P.S. 197 The Ocean School,40.599664,-73.744128,11691.0,0,,0,No transit options
Frederick Douglass Academy VI High School,40.601537,-73.763995,11691.0,1,QM17,1,Low transit density
Knowledge and Power Preparatory Academy VI,40.601537,-73.763995,11691.0,1,QM17,1,Low transit density
"Queens High School for Information, Research, and",40.601537,-73.763995,11691.0,1,QM17,1,Low transit density
Academy of Medical Technology: A College Board Sch,40.601537,-73.763995,11691.0,1,QM17,1,Low transit density
P.S. 174 William Sidney Mount,40.720583,-73.861462,11374.0,1,BM5,1,Low transit density
Thomas A. Edison Career and Technical Education Hi,40.716071,-73.799692,11432.0,1,Q65,1,Low transit density
Queens Gateway to Health Sciences Secondary School,40.718027,-73.805923,11432.0,1,Q65,1,Low transit density
P.S. 181 Brookfield,40.655674,-73.752948,11413.0,0,,0,No transit options
P.S. 084 Steinway,40.771154,-73.906117,11105.0,1,Q69,1,Low transit density
P.S. 122 Mamie Fay,40.780507,-73.915785,11105.0,1,Q69,1,Low transit density
I.S. 141 The Steinway,40.775766,-73.904508,11105.0,1,Q69,1,Low transit density
P.S. Q255,40.724195,-73.80938,11366.0,1,Q65,1,Low transit density
Home Instruction - Queen,40.683473,-73.800875,11436.0,1,Q9,1,Low transit density
Queens Transition Center,40.683473,-73.800875,11436.0,1,Q9,1,Low transit density
P.S. Q811,40.756481,-73.728412,11362.0,1,Q36,1,Low transit density
Challenge Preparatory Charter School,40.600137,-73.764065,11691.0,1,QM17,1,Low transit density
